player_id,season,gameweek,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,yellow_cards,red_cards,now_cost,form,status,chance_of_playing_next_round,own_goals,penalties_saved,penalties_missed,bonus,bps,influence,creativity,threat,ict_index,selected_by_percent,transfers_in,transfers_out,first_name,second_name,web_name,element_type,team_id,code,name,short_name,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,points_last_gw,points_last_3_gws
1,2025/26,17,90,6,0,0,1,0,1,0,0,60,,,,0,0,0,0,28,0.0,0.0,0.0,0.0,36.4,11577,14724,David,Raya Martín,Raya,1,1,154561,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,1.3333333333333333
2,2024/25,2,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,3,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,3,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,4,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,4,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,5,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,5,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,6,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,6,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,7,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,7,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,8,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,8,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,9,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,9,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,10,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,10,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,11,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,11,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,12,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,12,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,13,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,13,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,14,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,14,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,15,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,15,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,16,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,16,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2024/25,17,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,35,43,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,17,0,0,0,0,0,0,0,0,0,41,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,141,232,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,2,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,3,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,3,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,4,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,4,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,5,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,5,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,6,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,6,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,7,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,7,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,8,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,8,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,9,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,9,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,10,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,10,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,11,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,11,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,12,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,12,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,13,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,13,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,14,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,14,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,15,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,15,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,16,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,16,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2024/25,17,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,36,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,17,0,0,0,0,0,0,0,0,0,40,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,135,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2024/25,2,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,118,53,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,3,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,653,241,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2024/25,3,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,118,53,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2024/25,4,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,118,53,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,4,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,653,241,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,5,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,653,241,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2024/25,5,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,118,53,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2024/25,6,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,118,53,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,6,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,653,241,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,7,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,653,241,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2024/25,7,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,118,53,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,8,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,653,241,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2024/25,8,0,0,0,0,0,0,0,0,0,39,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,118,53,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
